name,ring,quadrant,isNew,description
remix,Assess,Frameworks & IDEs,TRUE,"<p>We've included <a href=""/radar/techniques/continuous-delivery-for-machine-learning-cd4ml"">continuous delivery for machine learning</a> as a technique in previous Radars, and in this edition we want to highlight a promising new tool called <strong><a href=""https://cml.dev/"">Continuous Machine Learning</a> (or CML)</strong> from the people who made <a href=""/radar/tools/dvc"">DVC</a>. CML aims to bring the best engineering practices of CI and CD to AI and ML teams and can help to organize your MLOps infrastructure on top of a traditional software engineering stack, instead of creating separate AI platforms. We like that they've prioritized support for DVC and see this as a good sign for this burgeoning new tool.</p>"
web3.py,Adopt,Front End,TRUE,"<p>When we wrote about <a href=""/radar/techniques/vr-beyond-gaming"">VR beyond gaming</a> a few years ago we made no prediction on how quickly and to what extent VR solutions would be found in fields other than video gaming. In hindsight, we've certainly seen interest and adoption grow but the uptake has been slower than some of us anticipated. One reason could be tooling. <a href=""https://unity.com/"">Unity</a> and <a href=""https://www.unrealengine.com/"">Unreal</a> are two very mature and capable engines for developing VR applications. We also highlighted <a href=""/radar/platforms/godot"">Godot</a>. However, these engines are quite unlike what most web and enterprise teams are familiar with. As we continued exploring, we realized that web-based VR solutions have come a long way and we've had positive experience with <strong><a href=""https://www.babylonjs.com/"">Babylon.js</a></strong>. Written in TypeScript and rendering its applications in the browser, Babylon.js provides a familiar experience for many development teams. Additionally, Babylon.js is open-source software, mature and well-funded, which makes it even more attractive.</p>"
react,Adopt,Front End,FALSE,"<p><strong><a href=""https://arrow-kt.io/"">Arrow</a></strong> is promoted as the functional companion for <a href=""/radar/languages-and-frameworks/kotlin"">Kotlin's standard library</a>. Indeed, the package of ready-to-use higher-level abstractions delivered by Arrow has proven so useful that our teams now consider Arrow a sensible default when working with Kotlin. Recently, in preparation for the 1.0 release, the Arrow team introduced several changes, including the addition of new modules but also some deprecations and removals.</p>"
ganache,Trial,Frameworks,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
infura,Assess,Frameworks,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
alchemy,Hold,Frameworks,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
quicknode,Trial,Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
go-ethereum,Adopt,Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
openzeppelin,Assess,Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
moralis,Hold,Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
thirdweb,Trial,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
uniswap,Adopt,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
compound,Hold,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
goreli,Trial,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
ether-scan,Adopt,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
polygonscan,Assess,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
chainlink,Hold,Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
pinata,Trial,Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
fleek,Adopt,Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
bloxy,Assess,Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
tenderly,Trial,Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
slither,Hold,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
echidna,Adopt,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
thegraph,Assess,languages-and-frameworks,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
bitquery.io,Trial,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
flashloans,Assess,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
dydx,Hold,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
metamask,Assess,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
L2BEAT,Adopt,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
argent.xyz,Trial,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
phantom,Hold,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
eth-converter,Assess,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
DefiLlama,Adopt,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
ultrasoundmoney,Adopt,Libraries & Tools,TRUE,"<p>In the case where implementation in <a href=""/radar/platforms/node-js"">Node.js</a> is necessary, we see that <a href=""https://www.fastify.io/""><strong>Fastify</strong></a> is an option that our teams are very happy with. This web framework offers ease in handling request-response validations, support for <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> and a plugin ecosystem giving our teams an easier experience developing software. Although it's a good option in the Node.js ecosystem, we stand by our previous advice: don't fall into <a href=""/radar/platforms/node-overload"">Node overload</a> scenarios.</p>"
